https://www.rt.com/op-ed/,a,link,rt
https://us.cnn.com/?hpt=header_edition-picker/,span,cd__headline-text,cnn
https://www.bbc.com/news/world,span,title-link__title-text,bbc
https://www.foxnews.com/world,h4,title,fox
https://www.buzzfeednews.com/,a,newsblock-story-card__title-link,buzzfeed
https://www.washingtonpost.com/world/?nid=top_nav_world&utm_term=.ca4831f1b0b6,div,headline,washpost
https://www.nytimes.com/section/world,h2,headline,nytimes
https://www.theguardian.com/world,span,js-headline-text,guardian
https://www.nbcnews.com/world,span,headline___38PFH,nbc
https://www.dailymail.co.uk/news/index.html,h2,linkro-darkred,dailymail
https://www.vox.com/world,h2,c-entry-box--compact__title,vox
https://www.politico.com/,h1,headline,politico
https://thehill.com/,h4,None,thehill
https://abcnews.go.com/International,a,black-ln,abc
